//----------------------------------------------------\\
//             Powered By : Layane Martins	      \\
//             ( LayaneMartins@live.com )	      \\
//----------------------------------------------------\\

//Information: Monster Skill Unit	
											
//Index 	Name		Target	ScopeT	ScopeV	Delay(ms)	E0	E1	E2	E3	E4
0
//Aida e guerra do Crywolf										
1	"ThunderBreak"		1	0	6	300	1	45	-1	-1	-1
2	"BloodyWind"		1	0	6	300	45	7	-1	-1	-1
3	"FireRay"		1	0	6	300	11	45	-1	-1	-1
4	"Slash"			1	-1	0	300	17	23	45	-1	-1
5	"VampiricTouch"	1	-1	0	300	3	45	-1	-1	-1
6	"DElf-GroupSummon"	2	-1	6	300	16	-1	-1	-1	-1
7	"DElf-GroupHeal"	2	-1	6	300	13	-1	-1	-1	-1
8	"DElf-SwordAura"		1	-1	6	300	43	45	-1	-1	-1
9	"Balram-ClearDir"		1	-1	0	300	17	45	-1	-1	-1
10	"Death-ManaAGDown"	1	-1	0	300	3	4	45	-1	-1
11	"Soram-PushBack"		1	0	6	300	44	45	-1	-1	-1
12	"Balgass-EarthHit"	1	0	6	300	44	1	17	45	-1
13	"Balgass-CrossCut"	1	0	6	300	44	1	1	45	-1
										
//Kanturu - monstros										
//Index Name			Target	ScopeT	ScopeV	Delay(ms)	E0	E1	E2	E3	E4
14	"Centaur-MultiShot"	1	1	6	300		24	-1	-1	-1	-1
15	"Persona-Spirit"		1	0	6	300		25	-1	-1	-1	-1
16	"Twintail-HairAtk"	1	-1	0	300		26	27	-1	-1	-1
17	"Dreadfear-2Slash"	1	-1	0	300		28	-1	-1	-1	-1

// Nightmare
//Index Name			Target	ScopeT	ScopeV	Delay(ms)	E0	E1	E2	E3	E4
18	"Nightmare-Poison"	1	-1	0	300		29	30	-1	-1	-1
19	"Nightmare-Whirl"	1	1	6	300		31	-1	-1	-1	-1
20	"Nightmare-Summon"	2	-1	0	300		-1	-1	-1	-1	-1
21	"Nightmare-Flame"	1	0	6	300		32	33	-1	-1	-1
22	"Nightmare-Warp"	2	-1	0	300		34	-1	-1	-1	-1

// Maos da Maya e Maya
//Index Name			Target	ScopeT	ScopeV	Delay(ms)	E0	E1	E2	E3	E4
23	"MayaHand-Pressure"	1	0	6	300		35	36	37	-1	-1
24	"MayaHand-PowerWave"	1	1	6	300		38	-1	-1	-1	-1
25	"Maya-IceStorm"	1	-1	6	300		39	40	-1	-1	-1
26	"Maya-BrokenShower"	1	-1	6	300		41	42	-1	-1	-1

end										
